Compositor,Obra,Año,Duración,Género y efectivo,Estreno,Edición discográfica,Notas,Grabación 1
,Historia de dos ciudades,1988,31',Radiofónica.,1988. Radio 2 Radio Nacional de España. España,,"Concierto sincronizado: vln, vlc con tratamiento electrónico en Madrid y 4 perc. en Barcelona.",
,Composición 1989,1989,12'47,Electrónica sobre soporte.,"1989. Semana Internacional de Música Contemporánea. Barcelona, España.",,,GB89_17 CD12
,Kientzy Concert,1989,13',Mixta. Saxofón tenor procesado en T. real y electrónica sobre soporte.,"1989. París, Francia.","""Ibersax"". Daniel Kientzy. Nova Música NMCD 5106. 2000",,GB89_18 CD12
,Uno y mil efectos de la libertad,1989,,Electrónica sobre soporte.,1989. Festival Synthése. Bourges. Francia.,,Encargo del IMEB.,GB89_19 CD12
,Dulcian Concert,1989,12',"Mixta. Viola, Fagot y electrónica sobre soporte.",1990. IV Muestra Catalana de Música Contemporanea. Barcelona/Madrid. España.,,,
,Viaje al Invierno,1990,,Mixta. Flauta y electrónica sobre soporte.,,,,
,"Vade Retro, a Luigi Nono",1990,28',Electrónica sobre soporte.,1990. Madrid. España.,"""Presencia de Luigi Nono"" AMEE CD-7. CD 1992.",,GB89_20 CD10
,Partita para Oboe,1991,10' ca,"Mixta. Ob. solista, cl, vl, vla y electrónica sobre soporte.","1991. Bruselas, Bélgica.",,Interprete: J Blanch.,
,Viola-Concert,1992,13',Mixta. Viola y electrónica sobre soporte.,1992. Alicante.,,,
,Dos esbozos para antiguos instrumentos electrónicos,1994,14' 46,Electrónica sobre soporte.,"Julio 1994. Concierto del LIEM-CDMC, dedicado al GME, Auditorio de Madrid, España.","""Foro de Comunicaciones electroacústicas. Vol I (a Gabriel Brncic)"" CD AVADI-001",Realizado en el Gabinete de Música Electrónica de Cuenca.Partes 1- Marcha por la calle de Alfonso VIII de Cuenca en submarino azul y con revuelo de angeles.2- Líricas del filtro Mágico o Magia del filtro lírico.,GB94_21 CD12
,…que no desorganiza cap murmuri,1995,11' 42,Mixta. Flauta dulce y electrónica sobre soporte.,"1996. Sala Manuel de Falla, SGAE, Festival Punto de Encuentro. Madrid, España.",,dedicada a Joan Brossa.,GB95_22 CD13
,Constanza (La casa del Viento 1),1996,6'12,Mixta. Flauta dulce. S A T B y electrónica sobre soporte.,"1996. Grupo Frullato. Barcelona, España.",,,GB96_23 CD13
,Adagio Scherzo,1991/1996,6’50,Electrónica sobre soporte.,"1996. Paris, Francia.",,,GB96_24 CD13
,Variaciones sobre Organo,1996,,Mixta. Organo pos. cinta ad.lib.,"1996. Barcelona, España.",,,
,Quodlibet VII (Versión 2),1998,,Mixta. Percusión y electrónica sobre soporte.,"1998. Barcelona, España.",,Dedicada a Pilar Sobirá.,
,Vuelta de Paseo,1998,4' ca,"Mixta. Soprano, Arpa y electrónica sobre soporte.","Festival Músicas Contemporáneas. Barcelona, España.",,Texto de F. Garcia Lorca,
,Clarinet Concert para Harry Sparnaay,1999,15'23,Mixta. Clarinte Bajo y electrónica sobre soporte.,1999. Festival de música contemporánea de Alicante. España,,Existe una versión para clarinete en Sib,GB99_25 CD13
,La Casa del Viento. Versión 2 (a Bárbara),1999,13'48,"Mixta. Flauta/ fl A, clarinete/cl B, viola, violoncello y electrónica sobre soporte.","1999. Ensemble Mosaik. Berlin, Alemania.",,,GB99_26 CD13
,Coreútica,1999,8'30'',Mixta. Viola y electrónica sobre soporte.,"1999. Teatro alla Scala. Milán, Italia.","""Música Electroacústica en el Gema 2000"".. SVR Producciones SVR-GEMA 3006-13 CD 2000.",,GB99_27 CD13
,Amico ai vinto,1999,3' ca.,"Mixta. Corno, 2 Violas y Electrónica sobre soporte.",,,Texto de L. Tasso,
,Ergon Rondeau,2000,3',Mixta. 4 Trpa. Vlc amplificado y electrónica sobre soporte.,"2000. Festival RiverMusica. Barcelona, España.",,"Proyección de imágenes, pinturas y dibujos de Gabriela Vargas. Paisajes sonoros de Luis Barrie",
,La Casa del Viento. Versión 3 (a Teresa Monsegur),2001,14'09,Mixta. Cuarteto de cuerdas y electrónica sobre soporte.,2001. Festival de la radio de Hungría. Budapest. Hungría.,,,GB01_28 CD14
,Ronde-Bosse,2002,24',Mixta. Viola y Arpa. interacciones electroacústicas en tiempo real y electrónica sobre soporte.,"2002. GRM-Multiphonies. Maison de Radio France. París, Francia.",,Encargo del INA-GRM,GB02_29 CD14
"Caceres, Eduardo (1955)",Encuentros para un fin de siglo,1984,9'05,Electrónica sobre Soporte.,,,,
,Amadeus...líbranos del mal,1991,,Mixta. Piano y electrónica sobre soporte.,,,,
,Súdala,1992,,"Mixta. Piano, percusión y electrónica sobre soporte.",,,,
,"Tubular II, los pensamientos.",1992,,Mixta. Zampoña cromática baja y electrónica sobre soporte.,,,,
,Timo,1992,,"Mixta, para voces procesadas electrónicamente.",,,,
,Metalmambo,1994,5'06,Electrónica sobre Soporte.,,"""Electromúsica de arte"". SVR Producciones SVR/CD-GEMA 2007-1. CD 1995.",,EC94_01 CD14
,Leruleru…là,,6'56,Electrónica sobre Soporte.,,"""Música Electroacústica en el GEMA 2000"". SVR Producciones. SVR-GEMA 3006-13. CD 2000.",,EC_02 CD14
"Cádiz, Rodrigo (1972)",Transposiciones,1999,5'10,Electrónica sobre soporte.,,,,RC99_01 CD14
,G-3,2001,6'34,Mixta. Trio de Guitarras y electrónica.,,,,RC01_02 CD14
,Yuga,2001,7'57,Electrónica sobre soporte.,,,,RC01_03 CD14
,ID-Fusiones,2001,8'54,Electrónica sobre soporte/ Obra Multimedia con video.,,,,RC01_04 CD15/ CDVideo
,Particles,2003,10'38,Mixta. Trombón y Electrónica.,,,,RC03_05 CD15
